,ano,bloco,talhao,corte,tch_bloco
71,2021,409P0021,4,3,15.93
72,2021,110F0008,5,2,100.35
73,2021,112F0060,1,4,72.68
74,2021,125F0024,1,4,61.07
75,2021,302F0582,34,2,28.71
76,2021,309F0912,1,18,144.94
77,2021,414F0002,27,4,86.6
78,2021,414F0003,18,3,59.2
79,2021,517F0086,2,7,32.54
80,2021,601F0377,16,18,100.64
81,2021,602F0001,27,9,59.78
82,2021,606F0017,25,2,93.67
83,2021,606F0017,59,6,52.69
84,2021,220P2910,2,2,59.0
85,2021,226P2536,8,2,81.76
86,2021,226P2671,7,4,50.69
87,2021,220P2022,8,4,73.25
88,2021,520P0009,2,6,62.73
89,2021,521P0023,9,3,93.55
90,2021,303P0019,12,3,61.07
91,2021,407P0030,8,4,45.43
92,2021,408P0041,4,18,103.38
93,2021,411P0014,1,2,41.75
94,2021,111F0094,4,2,101.29
95,2021,124F0007,1,18,97.73
96,2021,125F0020,4,9,62.31
97,2021,135F0013,10,2,83.86
98,2021,141F0002,54,4,69.56
99,2021,301F0265,11,3,52.56
100,2021,302F0495,7,7,40.49
101,2021,409F0001,18,5,67.81
102,2021,520F0008,2,3,72.53
103,2021,521F0160,1,3,83.05
104,2021,220P2880,1,3,85.95
105,2021,220P2001,4,3,51.87
106,2021,221P3410,3,3,31.1
107,2021,222P2210,6,8,67.0
108,2021,226P2633,3,4,112.39
109,2021,143P4349,1,3,11.81
110,2021,602P0323,3,5,27.33
111,2021,602P0356,1,4,62.05
112,2021,604P0313,5,4,71.1
113,2021,113P1304,7,3,72.96
114,2021,116P1240,2,18,85.54
115,2021,116P1639,1,4,31.68
116,2021,133P3322,5,4,47.61
117,2021,308P0072,233,4,43.19
118,2021,308P0072,234,4,43.19
119,2021,309P0025,8,4,69.7
120,2021,409P0028,2,4,42.96
121,2021,414P0038,3,18,117.4
122,2021,414P0050,4,18,92.85
123,2021,111F0097,4,2,74.84
124,2021,112F0115,26,2,81.33
125,2021,113F0011,23,2,94.26
126,2021,113F0012,39,18,83.53
127,2021,302F0565,15,4,87.19
128,2021,518F0018,7,4,58.85
129,2021,521F0041,6,6,39.15
130,2021,521F0042,20,2,82.61
131,2021,521F0062,4,3,96.6
132,2021,521F0172,9,8,66.3
133,2021,601F0436,1,6,75.24
134,2021,220P2916,6,4,9.87
135,2021,146P2638,1,4,27.69
136,2021,112P1223,1,4,8.1
137,2021,117P1755,1,6,71.53
138,2021,124P2484,1,3,45.58
139,2021,131P3150,1,3,69.48
140,2021,134P3432,4,3,41.64
141,2021,309P0033,9,3,123.34
142,2021,309P0037,5,2,86.46
143,2021,310P0053,4,3,62.03
144,2021,414P0021,3,3,93.44
145,2021,112F0010,13,9,94.12
146,2021,123F0029,4,9,68.93
147,2021,123F0031,4,6,62.77
148,2021,123F0042,8,7,122.84
149,2021,125F0012,1,3,67.85
150,2021,125F0026,9,8,60.69
151,2021,125F0065,1,4,42.25
152,2021,141F0001,1,2,40.27
153,2021,141F0002,111,18,124.34
154,2021,303F0437,4,18,124.37
155,2021,518F0017,6,2,66.56
156,2021,601F0340,2,4,76.17
157,2021,602F0007,11,9,59.49
158,2021,602F0516,1,6,72.11
159,2021,225P2733,2,4,55.0
160,2021,145P4514,6,3,27.13
161,2021,238P3801,10,2,60.64
162,2021,602P0325,1,5,69.49
163,2021,605P0336,2,2,112.26
164,2021,110P1187,5,4,65.26
165,2021,117P1515,3,18,107.0
166,2021,131P3143,4,5,47.31
167,2021,132P3204,12,5,73.6
168,2021,309P0019,8,2,81.89
169,2021,410P0017,3,4,67.92
170,2021,410P0082,17,2,91.59
171,2021,414P0002,8,18,144.08
172,2021,111F0004,56,9,42.34
173,2021,111F0115,2,9,58.38
174,2021,113F0011,1,3,80.45
175,2021,123F0021,8,18,13.8
176,2021,131F0036,4,2,134.91
177,2021,132F0003,8,9,84.64
178,2021,132F0020,4,2,81.32
179,2021,134F0027,4,6,31.81
180,2021,135F0006,2,3,72.6
181,2021,145F0002,5,2,82.27
182,2021,302F0002,10,7,66.37
183,2021,302F0018,5,18,222.33
184,2021,302F0555,14,5,76.3
185,2021,521F0011,7,3,55.95
186,2021,521F0130,3,6,47.0
187,2021,601F0181,43,18,57.85
188,2021,603F0059,56,2,72.23
189,2021,603F0457,4,18,90.17
190,2021,604F0102,5,2,79.42
191,2021,606F0010,17,5,90.8
192,2021,225P2744,5,2,43.1
193,2021,225P2752,1,4,34.31
194,2021,220P2006,3,2,87.69
195,2021,413P0020,1,2,51.47
196,2021,602P0316,3,6,55.27
197,2021,112P1677,4,5,51.19
198,2021,113P1304,3,3,72.96
199,2021,116P1609,13,18,78.54
200,2021,121P2127,7,3,73.54
201,2021,123P2366,17,5,42.72
202,2021,131P3113,4,18,133.58
203,2021,132P3205,2,4,107.74
204,2021,134P3421,2,2,52.77
205,2021,134P3438,6,2,61.22
206,2021,135P3550,2,5,46.75
207,2021,143P4204,2,4,43.91
208,2021,301P0011,12,2,87.26
209,2021,303P0020,12,2,119.26
210,2021,309P0061,3,2,64.16
211,2021,411P0014,2,2,41.75
212,2021,414P0056,1,2,96.09
213,2021,110F0008,13,2,90.25
214,2021,111F0150,1,2,90.51
215,2021,123F0029,1,5,37.29
216,2021,303F0315,60,7,32.2
217,2021,409F0001,5,3,69.38
218,2021,521F0062,1,3,96.6
219,2021,521F0141,9,6,52.66
220,2021,601F0020,2,2,76.05
221,2021,602F0517,7,18,79.87
222,2021,143P4567,1,5,54.46
223,2021,221F0008,3,5,33.05
224,2021,221F0070,1,18,86.63
225,2021,604P0311,8,4,70.76
226,2021,110P1137,2,18,127.67
227,2021,111P1139,1,4,37.53
228,2021,116P1538,4,18,64.01
229,2021,117P1757,7,2,75.02
230,2021,121P2122,3,18,111.26
231,2021,123P2366,18,5,42.72
232,2021,132P3207,7,4,75.94
233,2021,134P3402,10,3,44.44
234,2021,517P0030,4,2,90.36
235,2021,410P0016,3,4,80.82
236,2021,410P0026,3,18,51.12
237,2021,414P0069,6,2,112.81
238,2021,111F0010,7,18,74.78
239,2021,111F0018,1,4,74.01
240,2021,111F0068,1,5,30.18
241,2021,112F0031,1,4,84.09
242,2021,113F0014,4,2,139.16
243,2021,131F0016,2,9,19.43
244,2021,141F0002,29,18,122.91
245,2021,141F0002,53,9,68.35
246,2021,409F0001,4,3,69.38
247,2021,601F0099,29,18,89.1
248,2021,221P3111,1,3,31.92
249,2021,224P2432,6,4,33.74
250,2021,225P2659,2,5,6.55
251,2021,225P2756,2,2,70.66
252,2021,226P2620,5,4,62.8
253,2021,409P0030,18,18,111.65
254,2021,113P1302,10,2,118.05
255,2021,116P1634,2,3,38.24
256,2021,122P2214,3,3,86.49
257,2021,132P3201,11,3,89.03
258,2021,517P0023,5,18,84.14
259,2021,414P0046,3,5,32.79
260,2021,414P0069,5,2,112.81
261,2021,112F0062,2,3,85.69
262,2021,125F0005,3,2,83.92
263,2021,302F0252,87,5,65.2
264,2021,309F0915,4,18,122.67
265,2021,520F0021,6,5,56.43
266,2021,521F0041,5,6,39.15
267,2021,521F0086,6,7,83.44
268,2021,605F0042,14,2,64.88
269,2021,605F0084,10,2,60.99
270,2021,606F0019,10,5,51.95
271,2021,221P3410,1,3,31.1
272,2021,222P2301,11,8,42.34
273,2021,232P3208,2,5,13.24
274,2021,143P4341,3,2,43.4
275,2021,220P2843,2,5,68.09
276,2021,413P0019,5,3,40.61
277,2021,135F0007,61,3,66.32
278,2021,146F0005,6,5,40.0
279,2021,602P0325,2,5,69.49
280,2021,116P1615,4,2,82.52
281,2021,134P3445,2,3,54.46
282,2021,517P0031,4,18,69.19
283,2021,410P0001,4,2,73.57
284,2021,110F0008,11,2,90.25
285,2021,110F0012,4,18,79.97
286,2021,111F0011,3,5,53.76
287,2021,111F0024,2,2,70.83
288,2021,111F0133,2,4,76.95
289,2021,112F0053,7,2,132.01
290,2021,301F0401,3,5,90.65
291,2021,302F0152,22,4,50.19
292,2021,302F0300,39,4,76.16
293,2021,302F0478,1,5,239.53
294,2021,518F0005,3,3,48.4
295,2021,518F0011,8,9,53.6
296,2021,518F0011,6,9,53.6
297,2021,522F0051,1,3,95.2
298,2021,601F0377,10,4,92.53
299,2021,605F0005,1,3,55.25
300,2021,606F0165,30,6,38.39
301,2021,224P2428,3,2,46.19
302,2021,226P2536,4,2,81.75
303,2021,226P2638,11,5,30.54
304,2021,226P2678,2,4,17.66
305,2021,135F0007,17,4,15.68
306,2021,605P0336,1,2,112.26
307,2021,110P1118,3,2,143.82
308,2021,116P1654,1,3,37.42
309,2021,123P2328,1,18,120.44
310,2021,124P2424,3,2,47.63
311,2021,124P2486,1,4,42.65
312,2021,517P0023,8,18,84.13
313,2021,309P0044,3,2,52.01
314,2021,409P0025,5,18,99.29
315,2021,414P0056,2,2,96.1
316,2021,111F0014,1,5,65.05
317,2021,111F0061,3,9,99.75
318,2021,112F0046,4,8,36.2
319,2021,113F0003,20,2,106.77
320,2021,125F0036,6,3,84.34
321,2021,135F0011,1,18,63.23
322,2021,301F0583,15,18,102.53
323,2021,301F0816,5,8,21.07
324,2021,309F0809,3,18,98.46
325,2021,517F0302,22,5,76.55
326,2021,517F0684,3,4,53.64
327,2021,601F0377,1,7,59.87
328,2021,225P2572,3,7,37.02
329,2021,226P2656,10,5,39.61
330,2021,232P3202,3,18,105.17
331,2021,232P3237,6,5,44.87
332,2021,220P2022,5,4,73.25
333,2021,112P1669,3,3,55.13
334,2021,123P2350,7,18,134.92
335,2021,134P3451,1,2,86.49
336,2021,517P0029,2,4,60.74
337,2021,518P0022,1,6,45.61
338,2021,520P0004,7,4,63.06
339,2021,308P0011,2,2,33.95
340,2021,410P0019,6,4,52.55
341,2021,410P0082,24,2,82.63
342,2021,110F0015,6,4,73.52
343,2021,302F0252,9,8,68.23
344,2021,302F0495,2,6,43.87
345,2021,302F0875,3,2,83.82
346,2021,303F0434,25,7,86.67
347,2021,521F0042,9,2,82.61
348,2021,521F0173,5,9,44.67
349,2021,601F0340,1,4,72.05
350,2021,601F0377,22,18,83.46
351,2021,601F0377,9,2,85.28
352,2021,232P3054,1,3,35.35
353,2021,123P2348,2,3,61.81
354,2021,112P1266,2,3,37.08
355,2021,116P1663,5,2,51.8
356,2021,125P2480,4,18,108.95
357,2021,125P2501,3,3,28.42
358,2021,143P4242,3,2,39.78
359,2021,517P0040,6,18,99.31
360,2021,522P0007,2,18,103.08
361,2021,301P0008,3,2,102.72
362,2021,407P0037,13,2,103.56
363,2021,110F0008,7,4,55.08
364,2021,111F0004,35,4,56.46
365,2021,111F0006,9,3,63.55
366,2021,112F0010,16,3,51.55
367,2021,113F0010,36,3,75.57
368,2021,125F0036,2,3,84.34
369,2021,131F0005,2,18,87.36
370,2021,133F0015,8,5,35.6
371,2021,133F0035,6,2,69.05
372,2021,134F0008,1,18,23.74
373,2021,301F0611,9,8,35.97
374,2021,302F0311,12,2,84.51
375,2021,302F0527,6,6,52.79
376,2021,517F0008,1,6,24.0
377,2021,517F0391,10,7,91.16
378,2021,521F0015,1,7,72.3
379,2021,521F0032,8,7,46.4
380,2021,521F0041,2,6,39.15
381,2021,601F0046,6,18,77.73
382,2021,604F0020,34,2,82.69
383,2021,606F0017,51,4,91.32
384,2021,221P3120,1,5,23.46
385,2021,222P2247,8,18,89.45
386,2021,225P2677,8,4,50.63
387,2021,226P2542,1,5,10.11
388,2021,220P2022,7,4,73.25
389,2021,220P2033,1,2,60.75
390,2021,221F0012,1,5,39.75
391,2021,601P0337,1,6,94.05
392,2021,602P0016,7,3,83.18
393,2021,112P1214,2,2,58.79
394,2021,122P2202,3,3,112.68
395,2021,122P2227,6,5,75.94
396,2021,123P2369,1,5,25.16
397,2021,143P4304,6,2,72.37
398,2021,309P0019,3,2,81.89
399,2021,407P0014,1,8,34.07
400,2021,411P0007,16,5,46.97
401,2021,110F0012,1,18,79.97
402,2021,116F0029,8,4,56.94
403,2021,117F0018,6,2,44.42
404,2021,125F0043,12,9,104.13
405,2021,131F0004,5,3,47.75
406,2021,132F0014,3,2,63.57
407,2021,134F0005,2,2,89.48
408,2021,301F0447,4,4,80.86
409,2021,302F0361,36,2,95.12
410,2021,602F0540,1,4,32.27
411,2021,603F0104,1,4,74.08
412,2021,222P2209,3,9,64.7
413,2021,224P2439,3,18,98.25
414,2021,143P4366,1,2,58.51
415,2021,146F0005,5,5,97.02
416,2021,146F0010,1,3,50.13
417,2021,113P1302,5,2,118.05
418,2021,113P1317,3,18,110.79
419,2021,117P1504,6,2,79.88
420,2021,117P1745,1,18,123.36
421,2021,122P2205,5,5,101.47
422,2021,125P2507,3,3,45.38
423,2021,132P3221,9,4,61.47
424,2021,134P3418,2,3,55.83
425,2021,143P4345,4,4,0.33
426,2021,521P0005,4,4,102.12
427,2021,408P0008,1,3,67.49
428,2021,410P0082,22,2,82.63
429,2021,414P0055,7,5,45.18
430,2021,111F0007,2,3,75.56
431,2021,112F0113,4,5,63.76
432,2021,125F0041,7,2,104.55
433,2021,135F0013,12,18,92.42
434,2021,301F0265,13,5,48.96
435,2021,302F0011,2,4,73.86
436,2021,302F0524,24,8,64.24
437,2021,303F0461,2,9,73.27
438,2021,310F0387,32,3,265.07
439,2021,601F0165,36,2,56.6
440,2021,605F0050,1,5,59.82
441,2021,220P2944,1,3,54.14
442,2021,222P2207,3,18,85.3
443,2021,224P2304,4,18,87.91
444,2021,224P4605,8,5,30.79
445,2021,225P2513,1,5,30.71
446,2021,601P0313,6,6,71.56
447,2021,602P0308,1,5,82.31
448,2021,603P0073,3,5,26.31
449,2021,111P1183,1,4,47.8
450,2021,112P1642,1,9,10.43
451,2021,117P1504,2,2,79.88
452,2021,117P1530,1,18,89.32
453,2021,117P1531,4,18,102.93
454,2021,121P2114,4,5,65.16
455,2021,123P2346,3,4,31.34
456,2021,517P0026,4,4,67.24
457,2021,522P0044,7,18,96.65
458,2021,308P0062,3,18,122.83
459,2021,309P0010,1,3,32.7
460,2021,309P0041,2,2,71.33
461,2021,309P0057,2,4,55.02
462,2021,111F0004,81,8,42.34
463,2021,111F0009,2,18,129.14
464,2021,111F0065,1,9,40.7
465,2021,112F0115,13,3,72.07
466,2021,116F0041,8,9,37.38
467,2021,117F0018,2,2,61.78
468,2021,123F0030,1,2,74.65
469,2021,125F0045,2,3,38.55
470,2021,133F0015,12,3,39.62
471,2021,302F0016,10,3,75.11
472,2021,302F0016,9,3,75.1
473,2021,302F0361,29,8,69.01
474,2021,603F0020,35,18,84.39
475,2021,145P4545,5,4,37.51
476,2021,221F0026,2,2,82.62
477,2021,224P4601,2,4,10.72
478,2021,122P2227,3,5,75.94
479,2021,517P0066,1,6,42.96
480,2021,517P0093,2,3,69.73
481,2021,521P0013,15,18,124.41
482,2021,302P0025,9,18,85.01
483,2021,302P0049,1,7,71.51
484,2021,302P0069,1,5,60.39
485,2021,308P0017,10,2,83.61
486,2021,411P0013,1,18,90.64
487,2021,110F0028,7,4,33.22
488,2021,113F0008,1,4,70.55
489,2021,125F0024,5,18,57.72
490,2021,131F0011,1,18,118.84
491,2021,133F0011,3,2,41.6
492,2021,303F0434,38,5,99.04
493,2021,601F0468,2,4,50.17
494,2021,606F0170,1,5,70.51
495,2021,238P3914,6,5,49.37
496,2021,220P2934,1,2,56.95
497,2021,221P2144,1,5,21.84
498,2021,221P3131,1,2,45.2
499,2021,113P1437,9,2,65.49
500,2021,116P1615,7,2,82.52
501,2021,134P3402,4,3,44.44
502,2021,135P3502,5,4,14.58
503,2021,141P4132,4,5,28.6
504,2021,517P0072,14,5,45.92
505,2021,301P0040,5,4,58.55
506,2021,409P0049,3,18,87.51
507,2021,413P0036,1,2,103.23
508,2021,121F0001,7,2,91.68
509,2021,123F0029,6,5,44.74
510,2021,124F0030,1,2,67.46
511,2021,131F0026,2,5,32.61
512,2021,132F0016,9,4,57.98
513,2021,302F0252,1,9,58.49
514,2021,302F0459,3,3,88.94
515,2021,303F0434,19,4,112.8
516,2022,125F0024,11,4,61.77
517,2021,520F0018,7,2,80.63
518,2021,521F0046,5,6,67.55
519,2021,601F0042,25,6,89.39
520,2021,235P3426,4,2,45.53
521,2021,222P2274,2,5,20.26
522,2021,605P0308,4,18,77.6
523,2021,111P1116,1,18,72.33
524,2021,116P1231,9,4,18.41
525,2021,116P1246,8,18,100.37
526,2021,517P0093,3,3,69.73
527,2021,518P0004,4,5,69.92
528,2021,411P0007,8,5,54.12
529,2021,111F0004,37,4,56.46
530,2021,111F0004,39,18,98.8
531,2021,112F0002,10,2,87.46
532,2021,117F0005,4,9,45.28
533,2021,131F0032,14,2,43.6
534,2021,145F0002,4,2,82.28
535,2021,302F0016,7,5,65.84
536,2021,302F0875,9,2,109.8
537,2021,407F0001,10,5,77.92
538,2021,601F0218,1,5,84.07
539,2021,602F0003,4,9,88.42
540,2021,220P2930,4,4,33.71
541,2021,225P2572,1,7,37.02
542,2021,112P1211,10,18,102.09
543,2021,112P1265,4,3,53.86
544,2021,121P2136,1,3,87.04
545,2021,124P2404,4,3,49.5
546,2021,131P3116,18,2,97.9
547,2021,134P1500,1,3,44.69
548,2021,143P4347,1,5,55.11
549,2021,143P4357,1,5,34.51
550,2021,310P0047,1,18,93.17
551,2021,407P0014,9,8,34.07
552,2021,407P0046,4,2,70.3
553,2021,410P0018,10,4,48.37
554,2022,113F0003,9,5,55.16
555,2021,410P0039,1,3,47.12
556,2021,414P0056,4,2,96.09
557,2021,110F0009,23,6,60.89
558,2021,110F0043,2,5,67.98
559,2021,112F0041,3,2,82.18
560,2021,132F0007,1,3,96.27
561,2021,302F0524,8,8,65.43
562,2021,518F0018,2,4,58.85
563,2021,601F0377,7,2,75.3
564,2021,602F0001,18,8,53.34
565,2021,603F0020,26,9,73.84
566,2021,605F0008,11,18,53.75
567,2021,146P4501,4,4,50.48
568,2021,221P2151,1,3,20.74
569,2021,221P3437,1,18,72.86
570,2021,222P2236,2,2,75.72
571,2021,222P2247,6,18,81.17
572,2021,225P2659,1,5,5.28
573,2021,232P3201,1,7,34.8
574,2021,602P0016,5,3,83.18
575,2021,112P1221,3,18,73.35
576,2021,112P1240,5,3,61.88
577,2021,112P1286,4,2,81.24
578,2021,121P2140,1,2,116.66
579,2021,133P3311,4,2,78.96
580,2021,517P0092,10,2,115.21
581,2021,309P0047,5,2,68.62
582,2021,407P0046,3,2,70.67
583,2021,407P0047,5,18,79.09
584,2021,410P0082,23,2,82.63
585,2021,112F0115,33,2,81.33
586,2021,520F0012,7,9,65.52
587,2021,522F0005,3,8,57.14
588,2021,601F0048,1,5,77.98
589,2021,602F0034,6,2,65.77
590,2021,602F0138,3,18,94.01
591,2021,604F0102,6,2,79.42
592,2021,141F0009,1,18,93.86
593,2021,221P3118,1,3,28.78
594,2021,224P4606,6,5,15.4
595,2021,226P2537,9,2,89.72
596,2021,230P3029,1,3,26.45
597,2021,605P0316,7,18,71.18
598,2021,116P1616,6,3,37.05
599,2021,123P2339,6,4,73.12
600,2021,124P2419,1,2,80.56
601,2021,134P3453,1,4,20.21
602,2021,135P3548,13,18,111.1
603,2021,518P0021,1,6,28.99
604,2021,309P0006,3,5,62.47
605,2021,310P0008,3,4,34.32
606,2021,110F0002,100,6,46.29
607,2021,111F0027,1,5,29.85
608,2021,113F0011,22,3,54.58
609,2021,125F0052,1,7,73.77
610,2021,301F0583,9,7,53.8
611,2021,303F0434,35,5,99.05
612,2021,303F0639,8,18,111.91
613,2021,310F0870,5,3,60.64
614,2021,407F0001,11,5,77.91
615,2021,517F0075,1,2,78.44
616,2021,602F0147,3,18,117.74
617,2021,605F0001,1,2,46.06
618,2021,146P4553,3,3,65.23
619,2021,221P2145,8,5,50.27
620,2021,222P2275,7,5,49.64
621,2021,222P2301,3,8,42.34
622,2021,224P2307,2,18,92.29
623,2021,116P1229,7,18,102.22
624,2021,126P2607,6,2,86.98
625,2021,131P3113,2,18,133.59
626,2021,132P3204,1,5,73.6
627,2022,602F0147,6,3,76.04
628,2021,134P3436,1,2,73.83
629,2022,606F0017,3,4,66.06
630,2021,143P4316,5,18,107.22
631,2021,517P0015,1,6,40.31
632,2021,521P0007,5,18,120.12
633,2021,301P0023,2,18,129.93
634,2021,301P0059,2,2,64.64
635,2021,408P0039,11,2,40.91
636,2021,111F0017,1,9,45.85
637,2021,112F0006,4,3,44.47
638,2021,112F0006,29,8,33.5
639,2021,112F0117,3,7,55.68
640,2021,116F0058,2,3,48.39
641,2021,125F0028,1,9,88.24
642,2021,132F0020,15,2,85.63
643,2021,133F0018,21,9,126.75
644,2021,302F0344,100,9,60.93
645,2021,303F0867,3,2,77.93
646,2021,310F0870,14,2,59.17
647,2021,601F0020,1,2,76.05
648,2021,606F0007,4,2,74.01
649,2021,606F0024,49,6,59.65
650,2021,146P4510,1,5,31.17
651,2021,222P2219,5,2,42.11
652,2021,603P0323,2,5,36.14
653,2021,112P1223,3,4,8.1
654,2021,112P1289,4,2,81.27
655,2021,117P1531,8,18,102.93
656,2021,121P2111,3,2,114.18
657,2021,131P3115,1,4,39.38
658,2021,134P3409,3,3,59.15
659,2021,517P0077,3,4,86.49
660,2021,301P0044,6,18,144.42
661,2021,303P0019,11,3,61.07
662,2021,309P0032,6,18,57.53
663,2021,408P0002,3,3,27.5
664,2021,414P0051,17,9,75.14
665,2021,414P0060,1,2,116.24
666,2021,112F0040,20,9,82.76
667,2021,113F0011,28,2,94.26
668,2021,123F0028,3,18,75.22
669,2021,125F0018,14,18,110.92
670,2021,125F0039,1,18,100.92
671,2021,133F0018,28,9,89.84
672,2021,302F0625,4,6,85.22
673,2021,517F0022,1,18,36.17
674,2021,522F0060,5,6,45.0
675,2021,602F0578,3,2,46.79
676,2021,603F0020,8,3,82.28
677,2021,235P3553,5,4,34.53
678,2021,222P2349,10,18,85.82
679,2021,226P2646,6,4,23.58
680,2021,116P1609,14,18,78.54
681,2021,518P0013,2,3,105.49
682,2021,301P0001,9,2,101.5
683,2021,308P0002,6,4,18.23
684,2021,310P0019,1,6,44.43
685,2021,310P0023,2,18,115.01
686,2021,414P0054,4,18,85.77
687,2021,110F0037,3,8,55.65
688,2021,111F0077,6,2,79.12
689,2021,111F0088,1,3,68.35
690,2021,117F0009,1,18,75.69
691,2021,123F0004,2,3,52.82
692,2021,132F0005,10,4,34.64
693,2021,141F0002,44,8,61.14
694,2021,143F0011,2,2,66.38
695,2021,301F0820,1,2,68.63
696,2021,302F0423,5,4,4.89
697,2021,309F0911,1,18,121.06
698,2021,601F0381,35,3,105.08
699,2021,601F0433,1,3,40.96
700,2021,601F0518,20,9,84.59
701,2021,603F0474,1,5,39.77
702,2021,605F0042,42,18,83.51
703,2021,238P3912,1,2,25.44
704,2021,235P3575,3,3,67.03
705,2022,111F0037,4,2,85.34
706,2021,220P2041,3,4,59.36
707,2021,220P2849,1,2,57.62
708,2021,222P2270,1,2,67.42
709,2021,222P2301,4,8,42.34
710,2021,226P2678,9,4,8.39
711,2021,604P0303,4,6,49.53
712,2021,111P1166,5,4,40.51
713,2021,112P1241,1,2,82.49
714,2021,116P1644,2,2,77.43
715,2021,117P1503,4,2,85.97
716,2021,121P2142,15,3,76.23
717,2021,517P0032,2,4,34.82
718,2021,517P0066,2,6,42.96
719,2021,520P0004,5,4,63.06
720,2021,308P0021,4,2,93.83
721,2021,407P0045,1,3,74.36
722,2021,414P0046,5,5,32.79
723,2021,110F0007,32,4,60.6
724,2021,111F0038,6,8,34.04
725,2021,112F0008,2,4,47.0
726,2021,112F0059,5,8,267.61
727,2021,124F0019,2,2,76.86
728,2021,302F0010,1,4,90.93
729,2021,517F0058,1,2,86.6
730,2021,521F0041,3,6,39.15
731,2021,521F0140,6,7,84.57
732,2021,601F0006,3,9,56.64
733,2021,238P3802,10,18,66.4
734,2021,145P4509,1,2,74.88
735,2021,221P2144,11,5,19.68
736,2021,123P2336,1,2,91.53
737,2021,132P3201,2,3,89.03
738,2021,133P3322,14,4,47.61
739,2021,517P0034,2,3,100.58
740,2021,517P0089,1,3,79.26
741,2021,301P0040,3,4,58.55
742,2021,407P0015,3,2,98.36
743,2021,408P0020,3,2,79.0
744,2021,410P0056,2,18,104.86
745,2021,111F0092,2,2,113.7
746,2021,111F0112,1,4,24.31
747,2021,113F0009,33,6,80.79
748,2021,123F0052,2,4,45.76
749,2021,131F0017,2,2,58.21
750,2021,133F0014,1,9,86.78
751,2021,303F0436,2,2,92.02
752,2021,303F0601,21,8,79.53
753,2021,303F0639,11,18,111.91
754,2021,521F0035,2,4,63.21
755,2021,521F0171,3,9,24.84
756,2021,605F0025,3,3,100.67
757,2021,303P0028,2,4,73.91
758,2021,238P3913,1,3,19.75
759,2021,135F0007,64,3,66.32
760,2021,224P2439,8,18,98.25
761,2021,225P2753,1,3,52.54
762,2021,226P2660,2,5,38.61
763,2021,603P0324,1,18,78.63
764,2021,111P1186,18,5,26.47
765,2021,123P2322,1,4,81.31
766,2021,517P0041,1,18,114.74
767,2021,521P0023,1,3,93.55
768,2021,522P0031,8,18,102.4
769,2021,303P0019,9,3,61.08
770,2021,308P0071,3,2,52.8
771,2021,309P0032,7,18,57.53
772,2021,309P0061,2,2,64.16
773,2021,111F0003,79,4,42.95
774,2021,111F0003,77,4,42.95
